,network_id,strategy,step,source_node,current_node,reward,total_reward
269,7e9030d68efca4293d838c4d9e23ea38,myopic,6,5,8,100,600
270,7e9030d68efca4293d838c4d9e23ea38,myopic,7,8,4,200,800
271,7e9030d68efca4293d838c4d9e23ea38,myopic,8,4,5,0,800
272,cf153e35d4af808de4ec983a6d0f3027,myopic,1,9,2,100,100
273,cf153e35d4af808de4ec983a6d0f3027,myopic,2,2,9,0,100
274,cf153e35d4af808de4ec983a6d0f3027,myopic,3,9,2,100,200
275,cf153e35d4af808de4ec983a6d0f3027,myopic,4,2,9,0,200
276,cf153e35d4af808de4ec983a6d0f3027,myopic,5,9,2,100,300
277,cf153e35d4af808de4ec983a6d0f3027,myopic,6,2,9,0,300
278,cf153e35d4af808de4ec983a6d0f3027,myopic,7,9,2,100,400
279,cf153e35d4af808de4ec983a6d0f3027,myopic,8,2,9,0,400
280,05eaf849cfe6f9b0c5a25ae413d4a7b6,myopic,1,7,8,-50,-50
281,05eaf849cfe6f9b0c5a25ae413d4a7b6,myopic,2,8,7,0,-50
282,05eaf849cfe6f9b0c5a25ae413d4a7b6,myopic,3,7,8,-50,-100
283,05eaf849cfe6f9b0c5a25ae413d4a7b6,myopic,4,8,7,0,-100
284,05eaf849cfe6f9b0c5a25ae413d4a7b6,myopic,5,7,9,-50,-150
285,05eaf849cfe6f9b0c5a25ae413d4a7b6,myopic,6,9,5,0,-150
286,05eaf849cfe6f9b0c5a25ae413d4a7b6,myopic,7,5,2,100,-50
287,05eaf849cfe6f9b0c5a25ae413d4a7b6,myopic,8,2,7,0,-50
288,775d6e593f8bf07b059188f82d5ebe47,myopic,1,9,2,0,0
289,775d6e593f8bf07b059188f82d5ebe47,myopic,2,2,9,100,100
290,775d6e593f8bf07b059188f82d5ebe47,myopic,3,9,2,0,100
291,775d6e593f8bf07b059188f82d5ebe47,myopic,4,2,9,100,200
292,775d6e593f8bf07b059188f82d5ebe47,myopic,5,9,2,0,200
293,775d6e593f8bf07b059188f82d5ebe47,myopic,6,2,9,100,300
294,775d6e593f8bf07b059188f82d5ebe47,myopic,7,9,2,0,300
295,775d6e593f8bf07b059188f82d5ebe47,myopic,8,2,9,100,400
296,b69aabee546d7412dd56e68708a7a0e7,myopic,1,7,8,200,200
297,b69aabee546d7412dd56e68708a7a0e7,myopic,2,8,4,0,200
298,b69aabee546d7412dd56e68708a7a0e7,myopic,3,4,1,200,400
299,b69aabee546d7412dd56e68708a7a0e7,myopic,4,1,7,100,500
300,b69aabee546d7412dd56e68708a7a0e7,myopic,5,7,8,200,700
301,b69aabee546d7412dd56e68708a7a0e7,myopic,6,8,4,0,700
302,b69aabee546d7412dd56e68708a7a0e7,myopic,7,4,8,200,900
303,b69aabee546d7412dd56e68708a7a0e7,myopic,8,8,4,0,900
304,ecb2ecf0dee728d790960e54719d1e68,myopic,1,5,0,0,0
305,ecb2ecf0dee728d790960e54719d1e68,myopic,2,0,8,100,100
306,ecb2ecf0dee728d790960e54719d1e68,myopic,3,8,3,100,200
307,ecb2ecf0dee728d790960e54719d1e68,myopic,4,3,0,200,400
308,ecb2ecf0dee728d790960e54719d1e68,myopic,5,0,8,100,500
309,ecb2ecf0dee728d790960e54719d1e68,myopic,6,8,3,100,600
310,ecb2ecf0dee728d790960e54719d1e68,myopic,7,3,0,200,800
311,ecb2ecf0dee728d790960e54719d1e68,myopic,8,0,8,100,900
312,11d7b4994b6e5b3a588d9970e11dba47,myopic,1,5,1,200,200
313,11d7b4994b6e5b3a588d9970e11dba47,myopic,2,1,4,200,400
314,11d7b4994b6e5b3a588d9970e11dba47,myopic,3,4,3,-50,350
315,11d7b4994b6e5b3a588d9970e11dba47,myopic,4,3,5,0,350
316,11d7b4994b6e5b3a588d9970e11dba47,myopic,5,5,1,200,550
317,11d7b4994b6e5b3a588d9970e11dba47,myopic,6,1,4,200,750
318,11d7b4994b6e5b3a588d9970e11dba47,myopic,7,4,3,-50,700
319,11d7b4994b6e5b3a588d9970e11dba47,myopic,8,3,5,0,700
320,f5d9fc0b1cf995ecf9962f126fe3b156,myopic,1,4,2,200,200
321,f5d9fc0b1cf995ecf9962f126fe3b156,myopic,2,2,7,0,200
322,f5d9fc0b1cf995ecf9962f126fe3b156,myopic,3,7,6,100,300
323,f5d9fc0b1cf995ecf9962f126fe3b156,myopic,4,6,4,0,300
324,f5d9fc0b1cf995ecf9962f126fe3b156,myopic,5,4,2,200,500
325,f5d9fc0b1cf995ecf9962f126fe3b156,myopic,6,2,7,0,500
326,f5d9fc0b1cf995ecf9962f126fe3b156,myopic,7,7,6,100,600
327,f5d9fc0b1cf995ecf9962f126fe3b156,myopic,8,6,4,0,600
328,3e22897be8803d3b89051a071cf51d0e,myopic,1,4,2,100,100
329,3e22897be8803d3b89051a071cf51d0e,myopic,2,2,5,100,200
330,3e22897be8803d3b89051a071cf51d0e,myopic,3,5,2,200,400
331,3e22897be8803d3b89051a071cf51d0e,myopic,4,2,5,100,500
332,3e22897be8803d3b89051a071cf51d0e,myopic,5,5,2,200,700
333,3e22897be8803d3b89051a071cf51d0e,myopic,6,2,5,100,800
334,3e22897be8803d3b89051a071cf51d0e,myopic,7,5,2,200,1000
335,3e22897be8803d3b89051a071cf51d0e,myopic,8,2,5,100,1100
336,081b39b6050826d61ffe8dd2e5dfcef9,myopic,1,1,5,200,200
337,081b39b6050826d61ffe8dd2e5dfcef9,myopic,2,5,1,200,400
338,081b39b6050826d61ffe8dd2e5dfcef9,myopic,3,1,5,200,600
339,081b39b6050826d61ffe8dd2e5dfcef9,myopic,4,5,1,200,800
340,081b39b6050826d61ffe8dd2e5dfcef9,myopic,5,1,5,200,1000
341,081b39b6050826d61ffe8dd2e5dfcef9,myopic,6,5,1,200,1200
342,081b39b6050826d61ffe8dd2e5dfcef9,myopic,7,1,5,200,1400
343,081b39b6050826d61ffe8dd2e5dfcef9,myopic,8,5,1,200,1600
344,d0a1983cf5a191aeae23939165dc3c67,myopic,1,0,6,100,100
345,d0a1983cf5a191aeae23939165dc3c67,myopic,2,6,8,0,100
346,d0a1983cf5a191aeae23939165dc3c67,myopic,3,8,0,0,100
347,d0a1983cf5a191aeae23939165dc3c67,myopic,4,0,6,100,200
348,d0a1983cf5a191aeae23939165dc3c67,myopic,5,6,8,0,200
349,d0a1983cf5a191aeae23939165dc3c67,myopic,6,8,0,0,200
350,d0a1983cf5a191aeae23939165dc3c67,myopic,7,0,6,100,300
351,d0a1983cf5a191aeae23939165dc3c67,myopic,8,6,8,0,300
352,6a493cdf77df9aff45db325d4a580d6d,myopic,1,5,2,100,100
353,6a493cdf77df9aff45db325d4a580d6d,myopic,2,2,7,100,200
354,6a493cdf77df9aff45db325d4a580d6d,myopic,3,7,2,200,400
355,6a493cdf77df9aff45db325d4a580d6d,myopic,4,2,7,100,500
356,6a493cdf77df9aff45db325d4a580d6d,myopic,5,7,2,200,700
357,6a493cdf77df9aff45db325d4a580d6d,myopic,6,2,7,100,800
358,6a493cdf77df9aff45db325d4a580d6d,myopic,7,7,2,200,1000
